,antecedente,consecuente,soporte,confianza,lift
49,"ESTATUS_VICTIMA=DESAPARECIDA', 'SEXO=HOMBRE",GRUPO_EDAD=31-50,0.1566619612060917,0.3449268212465055,1.719138492209764
50,AÑO_DESAPARICION=2025.0,ESTATUS_VICTIMA=DESAPARECIDA,0.0511774854914965,0.9985426989215972,1.6736381158287437
51,AÑO_DESAPARICION=2024.0,ESTATUS_VICTIMA=DESAPARECIDA,0.0598415081374592,0.9960218796618596,1.6694130193949426
52,SEXO=MUJER,ESTATUS_VICTIMA=DESAPARECIDA,0.139796992986623,0.9493304930006088,1.5911544887566815
53,ESTATUS_VICTIMA=DESAPARECIDA,SEXO=HOMBRE,0.4541889802594725,0.7612573703383783,1.5761368500060997
54,SEXO=HOMBRE,ESTATUS_VICTIMA=DESAPARECIDA,0.4541889802594725,0.940370519283704,1.5761368500060997
55,"SEXO=HOMBRE', 'GRUPO_EDAD=18-30",ESTATUS_VICTIMA=DESAPARECIDA,0.0595800936610724,0.9393546867640132,1.5744342327558924
56,ESTATUS_VICTIMA=DESAPARECIDA,GRUPO_EDAD=31-50,0.1882184229984987,0.3154692605250309,1.572320026948398
57,GRUPO_EDAD=31-50,ESTATUS_VICTIMA=DESAPARECIDA,0.1882184229984987,0.9380932881658788,1.572320026948398
58,"SEXO=HOMBRE', 'GRUPO_EDAD=31-50",ESTATUS_VICTIMA=DESAPARECIDA,0.1566619612060917,0.9373882731498034,1.571138364907897
59,GRUPO_EDAD=18-30,ESTATUS_VICTIMA=DESAPARECIDA,0.087439407858866,0.9348398945939472,1.5668670768705923
60,GRUPO_EDAD=50+,ESTATUS_VICTIMA=DESAPARECIDA,0.0841082405311942,0.9314309346567412,1.5611533850150483
61,"SEXO=HOMBRE', 'GRUPO_EDAD=50+",ESTATUS_VICTIMA=DESAPARECIDA,0.0734275919245333,0.9286793878707728,1.5565415706344956
62,"ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=18-30",SEXO=HOMBRE,0.0595800936610724,0.6813872042367815,1.4107705535157573
63,GRUPO_EDAD=18-30,SEXO=HOMBRE,0.0634266209564782,0.6781122734169128,1.4039900094480904
64,GRUPO_EDAD=18-30,"ESTATUS_VICTIMA=DESAPARECIDA', 'SEXO=HOMBRE",0.0595800936610724,0.6369879421863771,1.4024733533219451
65,ENTIDAD=ESTADO DE MÉXICO,ESTATUS_VICTIMA=DESAPARECIDA,0.0775131267412071,0.7235080870050195,1.2126579192153455
66,ENTIDAD=TAMAULIPAS,ESTATUS_VICTIMA=DESAPARECIDA,0.0608423521327686,0.6055605114481118,1.014968267751447
67,ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS,ESTATUS_VICTIMA=DESAPARECIDA,0.0542995212380589,0.6015721969383533,1.0082835308957736
68,"ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS', 'ENTIDAD=TAMAULIPAS",ESTATUS_VICTIMA=DESAPARECIDA,0.0539335409711174,0.6014492753623188,1.0080775044182568
