,antecedents,consequents,support,confidence,lift
52,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",GRUPO_EDAD=31-50,0.1566619612060917,0.3449268212465055,1.719138492209764
53,"GRUPO_EDAD=31-50', 'ESTATUS_VICTIMA=DESAPARECIDA",SEXO=HOMBRE,0.1566619612060917,0.83234126984127,1.723311718603874
54,SEXO=HOMBRE,"GRUPO_EDAD=31-50', 'ESTATUS_VICTIMA=DESAPARECIDA",0.1566619612060917,0.3243590140104537,1.723311718603874
55,GRUPO_EDAD=31-50,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",0.1566619612060917,0.7808137587015599,1.719138492209764
56,"SEXO=HOMBRE', 'GRUPO_EDAD=18-30",ESTATUS_VICTIMA=DESAPARECIDA,0.0595800936610724,0.9393546867640132,1.5744342327558924
57,"GRUPO_EDAD=18-30', 'ESTATUS_VICTIMA=DESAPARECIDA",SEXO=HOMBRE,0.0595800936610724,0.6813872042367815,1.4107705535157573
58,GRUPO_EDAD=18-30,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",0.0595800936610724,0.6369879421863771,1.4024733533219451
59,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
60,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
61,ENTIDAD=JALISCO,"MUNICIPIO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
62,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
63,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
64,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
65,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL","SEXO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
66,"ENTIDAD=JALISCO', 'ESTATUS_VICTIMA=CONFIDENCIAL","SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
67,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL","MUNICIPIO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
68,ENTIDAD=JALISCO,"SEXO=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL', 'ESTATUS_VICTIMA=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
