,antecedents,consequents,support,confidence,lift
52,"GRUPO_EDAD=31-50', 'ESTATUS_VICTIMA=DESAPARECIDA",SEXO=HOMBRE,0.156654492221052,0.8324006826209468,1.7234347291323215
53,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",GRUPO_EDAD=31-50,0.156654492221052,0.3449103765827989,1.7192485327453906
54,GRUPO_EDAD=31-50,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",0.156654492221052,0.7808637379002233,1.7192485327453906
55,SEXO=HOMBRE,"GRUPO_EDAD=31-50', 'ESTATUS_VICTIMA=DESAPARECIDA",0.156654492221052,0.3243435499335044,1.7234347291323215
56,"GRUPO_EDAD=18-30', 'SEXO=HOMBRE",ESTATUS_VICTIMA=DESAPARECIDA,0.0595950316311516,0.9393689663291735,1.5744581664590336
57,"GRUPO_EDAD=18-30', 'ESTATUS_VICTIMA=DESAPARECIDA",SEXO=HOMBRE,0.0595950316311516,0.6813834329632792,1.4107627453245069
58,GRUPO_EDAD=18-30,"SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA",0.0595950316311516,0.6369950502953856,1.4024890034352622
59,"ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
60,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
61,ENTIDAD=JALISCO,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
62,"ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL",MUNICIPIO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
63,"ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL",SEXO=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
64,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",ESTATUS_VICTIMA=CONFIDENCIAL,0.0746898503962296,1.0,2.7241042544100598
65,"ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO","MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
66,"ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL","ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
67,"ENTIDAD=JALISCO', 'MUNICIPIO=CONFIDENCIAL","ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.0746898503962296,1.0,2.7241042544100598
68,ENTIDAD=JALISCO,"ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL",0.0746898503962296,0.6751738572682466,1.8392439770508808
