,antecedente,consecuente,soporte,confianza,lift
29,"frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL', 'ENTIDAD=JALISCO'})",frozenset({'MUNICIPIO=CONFIDENCIAL'}),0.07468985039622966,1.0,2.7241042544100593
30,"frozenset({'MUNICIPIO=CONFIDENCIAL', 'ENTIDAD=JALISCO'})",frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL'}),0.07468985039622966,1.0,2.7241042544100593
31,"frozenset({'MUNICIPIO=CONFIDENCIAL', 'ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL'})",frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL'}),0.07468985039622966,1.0,2.7241042544100593
32,frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL'}),"frozenset({'MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL'})",0.3670931457124291,1.0,2.7241042544100593
33,"frozenset({'ENTIDAD=JALISCO', 'SEXO=CONFIDENCIAL'})","frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL'})",0.07468985039622966,1.0,2.7241042544100593
34,frozenset({'ENTIDAD=JALISCO'}),frozenset({'SEXO=CONFIDENCIAL'}),0.07468985039622966,0.6751738572682466,1.8392439770508808
35,frozenset({'ENTIDAD=JALISCO'}),"frozenset({'MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL'})",0.07468985039622966,0.6751738572682466,1.8392439770508808
36,frozenset({'ENTIDAD=JALISCO'}),frozenset({'MUNICIPIO=CONFIDENCIAL'}),0.07468985039622966,0.6751738572682466,1.8392439770508808
37,frozenset({'ENTIDAD=JALISCO'}),frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL'}),0.07468985039622966,0.6751738572682466,1.8392439770508808
38,frozenset({'ENTIDAD=JALISCO'}),"frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL'})",0.07468985039622966,0.6751738572682466,1.8392439770508808
39,frozenset({'ENTIDAD=JALISCO'}),"frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL', 'SEXO=CONFIDENCIAL'})",0.07468985039622966,0.6751738572682466,1.8392439770508808
40,frozenset({'ENTIDAD=JALISCO'}),"frozenset({'ESTATUS_VICTIMA=CONFIDENCIAL', 'MUNICIPIO=CONFIDENCIAL', 'SEXO=CONFIDENCIAL'})",0.07468985039622966,0.6751738572682466,1.8392439770508808
41,frozenset({'GRUPO_EDAD=50+'}),frozenset({'SEXO=HOMBRE'}),0.07903679968929023,0.8755584974350489,1.812790346489444
42,"frozenset({'ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=50+'})",frozenset({'SEXO=HOMBRE'}),0.07339771598437489,0.8729679310651152,1.8074267371805133
43,frozenset({'GRUPO_EDAD=50+'}),"frozenset({'SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA'})",0.07339771598437489,0.8130895250703294,1.7902009084540569
44,frozenset({'SEXO=HOMBRE'}),frozenset({'GRUPO_EDAD=31-50'}),0.16711854026156386,0.3460087217393994,1.7247233703470948
45,frozenset({'GRUPO_EDAD=31-50'}),frozenset({'SEXO=HOMBRE'}),0.16711854026156386,0.8330230826507818,1.7247233703470948
46,frozenset({'SEXO=HOMBRE'}),"frozenset({'ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=31-50'})",0.15665449222105207,0.32434354993350445,1.7234347291323215
47,"frozenset({'ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=31-50'})",frozenset({'SEXO=HOMBRE'}),0.15665449222105207,0.8324006826209468,1.7234347291323215
48,"frozenset({'SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA'})",frozenset({'GRUPO_EDAD=31-50'}),0.15665449222105207,0.3449103765827989,1.7192485327453906
49,frozenset({'GRUPO_EDAD=31-50'}),"frozenset({'SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA'})",0.15665449222105207,0.7808637379002233,1.7192485327453906
50,frozenset({'AÑO_DESAPARICION=2025.0'}),frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.05117748549149656,0.9985426989215972,1.6736381158287437
51,frozenset({'AÑO_DESAPARICION=2024.0'}),frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.0598415081374592,0.9960218796618597,1.6694130193949426
52,frozenset({'SEXO=MUJER'}),frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.13979699298662304,0.9493304930006087,1.5911544887566815
53,frozenset({'SEXO=HOMBRE'}),frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.4541889802594725,0.9403705192837039,1.5761368500060997
54,frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),frozenset({'SEXO=HOMBRE'}),0.4541889802594725,0.7612573703383783,1.5761368500060997
55,"frozenset({'SEXO=HOMBRE', 'GRUPO_EDAD=18-30'})",frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.059595031631151645,0.9393689663291737,1.5744581664590336
56,frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),frozenset({'GRUPO_EDAD=31-50'}),0.18819601604337988,0.31543170466068277,1.5723084378966803
